Sundhedskompetencer;bb7e9e71-73f6-4ec6-a0bf-eaec1e5982b4;fund vedr. helbredsrelateret adfærd;365949003
Smerte;e7531532-7b7f-4ac0-863a-0b6a4cbe6ce2;smerter;22253000
Alkohol;57b8979f-cf46-4312-aafa-3a0dd93aa921;fund vedr. adfærd i forbindelse med indtag af alkohol;228273003
Cirkulation ;e3ff3fea-a4ff-4c7b-ad04-f4aad2e67fd3;fund vedr. kardiovaskulære system;106063007
Emotionel funktion;525b5dd8-d62b-4efa-bf66-262ac47eca5b;fund vedr. emotionel tilstand;106126000
Ernæring;c0ee1cf6-47a9-4523-8fda-a80a13e28e30;fund vedr. ernæring;300893006
Sociale relationer;08042057-72f4-4798-a727-75ce6205dc86;fund vedr. interpersonelle relationer;225706007
Vægt;febbd20d-f5ff-41e7-bf12-dfa0700678e0;fund vedr. vægt;107647005
Fysisk aktivitet;f1f1eee3-a3ea-4ca1-bfa9-ebb381af1a1f;aktivitetsudfoldelsesmønster;106020009
Kontinens;880cdd75-c63a-44a0-a4e4-8209644c8628;udskillelsesmønster;106019003
Mobilitet og bevægelse;abc0b770-d080-4cc8-851a-aa62556730e6;fund vedr. evne til at udføre grovmotoriske funktioner;364832000
Håndtere genstande;43f0b6da-11da-4eed-b00b-19b2177690b5;fund vedr. evne til at udføre almindelige fysiske aktiviteter;365136007
Spisemønster;f715168e-125b-4d00-8e93-2ca4147ed13f;fund vedr. spisemønster;289136006
Kognitiv funktion;0520a107-2bb0-47b8-8856-c53e27607e51;fund vedr. kognitiv funktion;373930000
Kropsopfattelse;43ad3091-f684-4d6f-8885-20ecd1cf2255;fund vedr. kropsopfattelse;277813003
Respiration;e33396bb-019a-4fda-b901-1dbfdea1fc10;fund vedr. respirationssystemet;106048009
Tobak;1a34ed6c-083b-451f-b8c8-137f99126b0c;fund vedr. brug af og udsættelse for tobak;365980008
Daglige aktiviteter;fab34c19-4805-45af-b961-56099c849744;fund vedr. almindelig daglig livsførelse;118233009
Søvn og hvile;cb55874a-93d9-45c7-a25a-8ff677c24385;fund vedr. søvn/hvilemønster;106021008
Medicin og stoffer;f0b62265-6c83-4239-af97-4d6e9ba9dea7;fund vedr. adfærd i relation til stofmisbrug;228366006
